Timestamp dT0 sum(dT0) L0 L0hat int_weight n_AODVISstdn n_H2SO4_mass n_rmode n_sad n_H2SO4_mmr n_SAD_AERO REFF_AERO 
2050 0.8816851009656261 0.8816851009656261 0.23037436565407504 0.181 1 0.23037436565407504 2.466308454787963e+28 452572361160.6525 4447.884667491369 38258185822.06697 4.447884640798874e-05 45257236114008.42 
2051 0.5899562112633703 1.4716413122289964 0.24234473065778628 0.18462 1 0.24234473065778628 2.618558095060597e+28 468690679264.9012 4624.3180579509535 40472813095.171646 4.624318038471912e-05 46869067923346.21 
2052 0.13688335259058704 1.6085246648195834 0.23711142448748476 0.18824 1 0.23711142448748476 2.551837081014012e+28 461683694808.9019 4547.2868993729035 39502765729.78721 4.547286876822434e-05 46168369478212.02 
2053 0.01044935545013459 1.618974020269718 0.23748385452015588 0.19186 1 0.23748385452015588 2.5565771975594427e+28 462184362278.5024 4552.774104220978 39571705939.69587 4.55277408189326e-05 46218436225138.445 
2054 0.12740730504259545 1.7463813253123135 0.24794608164993742 0.19548 1 0.24794608164993742 2.6902399666919136e+28 476124308673.7128 4706.593179174441 41514178315.72459 4.7065931628453647e-05 47612430863744.6 
2055 -0.12853072457795633 0.0 0.19550113971181723 0.1991 1 0.19550113971181723 2.0305289034832955e+28 403604094556.2257 3928.747551637183 31896185251.510597 3.928747499828198e-05 40360409457222.836 
2056 -0.15179632963366885 -0.15179632963366885 0.19421940554051456 0.20272 1 0.19421940554051456 2.0147466658486946e+28 401741037894.2007 3909.509148735802 31665074595.411957 3.9095090958766456e-05 40174103791170.49 
2057 -0.14223509698695125 -0.2940314266206201 0.194124537338988 0.20634 1 0.194124537338988 2.013579229384494e+28 401602949377.2828 3908.084733955208 31647976886.20546 3.908084681017939e-05 40160294939489.86 
2058 0.0603570337601127 -0.2336743928605074 0.20510711394518896 0.20996 1 0.20510711394518896 2.14935625251701e+28 417415826771.2628 4072.5574895290556 33634601441.566986 4.0725574452899895e-05 41741582677639.17 
2059 0.15841745509311522 -0.07525693776739217 0.21590849448512023 0.21358 1 0.21590849448512023 2.2840905066984287e+28 432643548595.067 4233.508510845905 35602338781.67205 4.233508474511309e-05 43264354858872.305 
2060 -0.09956730750889164 -0.17482424527628382 0.2095170365220151 0.2172 1 0.2095170365220151 2.2042242714029873e+28 423670412406.4683 4138.363791635267 34436349366.743515 4.138363750699001e-05 42367041240682.03 
2061 -0.2732661897640014 -0.44809043504028523 0.20062201450547995 0.22082 1 0.20062201450547995 2.093755810274938e+28 410999687134.4362 4005.492432595056 32821539782.587307 4.005492384886718e-05 41099968714456.02 
2062 -0.021564898769440788 -0.469655333809726 0.21068583348778333 0.22444 1 0.21068583348778333 2.2187990998426995e+28 425319339119.92224 4155.7829744546225 34649222336.75286 4.1557829343760613e-05 42531933911903.0 
2063 0.12377828578206618 -0.34587704802765984 0.22184123465712335 0.22805999999999998 1 0.22184123465712335 2.358581249990037e+28 440878883069.2287 4321.587215038981 36688773119.66746 4.3215871827856265e-05 44087888305689.98 
2064 -0.007195149184951788 -0.3530721972126116 0.2215925143008682 0.23168 1 0.2215925143008682 2.355451560127481e+28 440535397317.4816 4317.899158987655 36643147598.78267 4.317899126566798e-05 44053539730539.92 
2065 0.08940621527750636 -0.26366598193510526 0.23042072653358725 0.2353 1 0.23042072653358725 2.4668955970031574e+28 452635418677.59344 4448.569628634127 38266733956.91522 4.448569601970874e-05 45263541865698.16 
2066 0.19565593554290217 -0.0680100463922031 0.24249408489621957 0.23892 1 0.24249408489621957 2.6204658371999205e+28 468889767539.1307 4626.514147308487 40500538736.98226 4.626514127915265e-05 46888976750756.08 
2067 -0.03842302410208731 -0.1064330704942904 0.23848402935130142 0.24254 1 0.23848402935130142 2.5693131341332454e+28 463527385524.58417 4567.506189485723 39756918730.461586 4.5675061677530256e-05 46352738549656.69 
2068 -0.03250953371792775 -0.13894260421221816 0.2413593401379559 0.24616 1 0.2413593401379559 2.605976389363906e+28 467375938585.5827 4609.825776080053 40289945497.673386 4.6098257560322704e-05 46737593855500.95 
2069 0.1207812069030183 -0.018161397309199856 0.25265335466862693 0.24978 1 0.25265335466862693 2.750691077047631e+28 482320051633.3035 4775.600182553465 42391753893.12257 4.7756001687643645e-05 48232005159310.086 
2070 -0.0005869726003311371 -0.018748369909530993 0.25285861040972385 0.2534 1 0.25285861040972385 2.7533313175862592e+28 482589164502.0937 4778.60638855373 42430069569.33716 4.7786063748731906e-05 48258916446172.195 
2071 -0.208978982791848 -0.227727352701379 0.2447922226061896 0.25701999999999997 1 0.2447922226061896 2.6498453965310605e+28 471947068069.6482 4660.28970852711 40927443899.78533 4.660289690441703e-05 47194706803608.0 
2072 -0.10473289575202216 -0.33246024845340116 0.24839859196224812 0.26064 1 0.24839859196224812 2.6960428198542733e+28 476721919638.28503 4713.232153217599 41598443901.02148 4.713232137136903e-05 47672191960163.516 
2073 0.09681067865022897 -0.2356495698031722 0.2603725110477176 0.26426 1 0.2603725110477176 2.850229804356528e+28 492381900056.0504 4888.499431017112 43835541269.315155 4.888499421187174e-05 49238190000962.41 
2074 0.1975540627463488 -0.03809550705682341 0.2723448395593067 0.26788 1 0.2723448395593067 3.0055921278769647e+28 507756825011.3882 5062.985319144282 46086098338.16482 5.0629853149672e-05 50775682495584.555 
2075 0.06673571603590744 0.028640208979084036 0.2741705259004198 0.2715 1 0.2741705259004198 3.0293859217086984e+28 510077627195.58154 5089.528778835574 46430465698.34218 5.08952877547004e-05 51007762713870.36 
2076 0.09451161917542095 0.12315182815450498 0.2812145765252379 0.27512 1 0.2812145765252379 3.1214378594357015e+28 518975139759.15137 5191.786475456554 47761989669.72991 5.1917864751007785e-05 51897513969725.125 
2077 0.18078673853932514 0.3039385666938301 0.29231230854652834 0.27874 1 0.29231230854652834 3.2672478863593527e+28 532815738367.3699 5352.404306298907 49868771992.99985 5.3524043103044494e-05 53281573829796.02 
