Timestamp dT0 sum(dT0) L0 int_weight n_AODVISstdn n_so4mass_a1 n_so4mass_a2 n_so4mass_a3 n_diamwet_a1 n_diamwet_a2 n_diamwet_a3 n_SAD_AERO 
2020 -0.19246385375612363 -0.19246385375612363 0 1 0 377359134.81968534 20458653.202376466 -54292882.27978808 -4.791382148365148e-05 7.450332430900419e-06 0.0008458612618178151 0.00018148202045803238 
2021 -0.07300771428862163 -0.26547156804474525 0.0008678181899038229 1 0.0008678181899038229 1285265087.1922698 17100747.087674104 -14474191.166614756 -8.307765036862128e-06 7.634080233798016e-06 0.0008499284729656718 0.0001818368264570156 
2022 -0.0822622327527256 -0.34773380079747085 0.008650587251070693 1 0.008650587251070693 1982096431.5807152 11709580.214752305 568558636.522974 2.6913803850597426e-05 8.168925526637814e-06 0.0008848714098229301 0.00018631104110516242 
2023 -0.040088977545735816 -0.38782277834320666 0.019054185120823897 1 0.019054185120823897 2328790698.70378 8302725.847413048 1547218186.979298 4.5186027365106184e-05 8.598161319773864e-06 0.0009275367220120729 0.00019331929754259544 
2024 -0.17892223900201998 -0.5667450173452266 0.020502269203229482 1 0.020502269203229482 2364520925.336682 7926184.232082546 1693842346.6612437 4.709210405937267e-05 8.649124840336961e-06 0.0009331317815786855 0.0001943458974022029 
2025 0.007971584930658082 -0.5587734324145686 0.036303738746640994 1 0.036303738746640994 2666651468.1416907 4559158.885496298 3407888023.6524596 6.336420986399226e-05 9.132683946273596e-06 0.0009892062935082735 0.00020609307985452677 
2026 -0.263353557855055 -0.8221269902696235 0.031677973223937575 1 0.031677973223937575 2590650405.5547333 5436546.983799111 2887124337.5212154 5.924587290741078e-05 9.002040129273512e-06 0.0009736961344658135 0.00020256437899501218 
2027 -0.12002644090438253 -0.9421534311740061 0.04267563024847179 1 0.04267563024847179 2760212270.4970264 3451509.5475185774 4146582143.48635 6.845603398607434e-05 9.30202123668986e-06 0.0010094317198989376 0.00021105333024060738 
2028 0.08167532432531743 -0.8604781068486886 0.060955426851250376 1 0.060955426851250376 2980215195.556084 729230.7882994302 6380163766.426394 8.052017772307833e-05 9.738017343395309e-06 0.0010608001247949118 0.00022580952489265066 
2029 -0.01208552439243249 -0.8725636312411211 0.06833696649940338 1 0.06833696649940338 3054967679.4832034 -232719.40307568386 7322759946.391329 8.464708687058164e-05 9.898486400515196e-06 0.0010790283939677498 0.00023195282446510811 
2030 0.021798256719193887 -0.8507653745219272 0.08024130165390445 1 0.08024130165390445 3163625566.3688626 -1663878.7757471874 8884755357.597439 9.066982211438976e-05 1.0143116672764941e-05 0.001105737405538356 0.00024204793605606307 
2031 0.0737048595939882 -0.777060514927939 0.09410366069826842 1 0.09410366069826842 3275810354.5690384 -3181924.510357715 10761574915.335627 9.691693847717212e-05 1.041003350125215e-05 0.0011330919961586455 0.00025406091506434175 
2032 -0.08354303327422485 -0.8606035482021639 0.09770675286151827 1 0.09770675286151827 3302912824.7724023 -3554769.2461596318 11258686227.987705 9.843045467058942e-05 1.0476728649751951e-05 0.0011396036039727003 0.00025722432367709214 
2033 0.019654310481826087 -0.8409492377203378 0.11149183727541694 1 0.11149183727541694 3400136696.9892993 -4911638.851122599 13192999908.172201 0.00010387325507236027 1.072313875900328e-05 0.0011624623161854142 0.0002694693497051307 
2034 0.17071205213653684 -0.670237185583801 0.13084662959680995 1 0.13084662959680995 3522401922.2850785 -6660630.047260147 15988096887.973866 0.0001107469842490228 1.1049076784744062e-05 0.001189685018398998 0.000287006986941902 
2035 -0.0019869299782726557 -0.6722241155620736 0.13630066215344175 1 0.13630066215344175 3554377491.727381 -7125805.839051314 16791046943.700134 0.00011254985823865789 1.1137301922663972e-05 0.001196453083851561 0.0002920152118157409 
2036 0.050798580396474335 -0.6214255351655993 0.14954625479027406 1 0.14954625479027406 3628207475.6988025 -8212083.637603525 18767015602.144268 0.00011672068640815867 1.1345780483280507e-05 0.0012114343509199148 0.0003042896710862058 
2037 0.10413014494616846 -0.5172953902194308 0.16430042075139628 1 0.16430042075139628 3704864316.875171 -9357877.17428279 21008703329.049847 0.00012106294950852672 1.1569339852547407e-05 0.0012259480175132076 0.0003181362265316877 
2038 -0.23273086480156735 -0.7500262550209982 0.15869708635925392 1 0.15869708635925392 3676386244.6664724 -8930090.729493167 20152504607.462666 0.00011944841470589842 1.1485438964517987e-05 0.001220686168964329 0.00031285687825952183 
2039 -0.3761569638160722 -1.1261832188370704 0.15449399869523583 1 0.15449399869523583 3654524036.9921274 -8603386.929354932 19514132195.272236 0.00011821006453955428 1.1421710712146991e-05 0.0012165414853881897 0.00030891330646533446 
2040 -0.05167138753751033 -1.1778546063745807 0.17247803407522339 1 0.17247803407522339 3745142297.890763 -9967186.923246693 22268518640.767746 0.00012334922634062035 1.1689725568367384e-05 0.001233117890685933 0.00032588468745219486 
2041 0.009479490886917574 -1.1683751154876632 0.18480092251117916 1 0.18480092251117916 3803205996.9237127 -10854320.483499467 24189020439.768303 0.00012665068873000273 1.1866835523163747e-05 0.0012428748568795638 0.00033765456877508064 
2042 -0.3677137310575631 -1.5360888465452263 0.17428876592236 1 0.17428876592236 3753865833.954293 -10099810.641528744 22549080171.303616 0.0001238448184919956 1.1716065467901853e-05 0.0012346278810409163 0.00032760721800389743 
2043 -0.19725697110436613 -1.7333458176495924 0.1838835981053654 1 0.1838835981053654 3798985775.432458 -10789493.3918118 24045169436.517216 0.00012641050780391231 1.1853820320603742e-05 0.001242189162033114 0.00033677465332608754 
2044 0.063031333263325 -1.6703144843862674 0.2032817860542719 1 0.2032817860542719 3885051988.5730505 -12122300.413100194 27116205134.67776 0.0001313155017197356 1.2123687081690885e-05 0.001255432201706948 0.0003555045272249852 
2045 -0.10150988552385343 -1.7718243699101208 0.20617759322880114 1 0.20617759322880114 3897363593.176792 -12314796.938223962 27579743674.59866 0.0001320183114931617 1.2163056761208474e-05 0.0012571982791116589 0.0003583219842008113 
2046 -0.0673595786223018 -1.8391839485324226 0.21559297171585826 1 0.21559297171585826 3936514965.513185 -12929993.14748589 29095641339.95382 0.00013425518074937072 1.2289534302231772e-05 0.0012626000666994767 0.0003675193638405275 
2047 -0.03269716322643035 -1.871881111758853 0.22599323687184067 1 0.22599323687184067 3978294041.138677 -13591583.099368948 30785237826.21407 0.0001366453570249179 1.2426656804565304e-05 0.0012680054682781886 0.00037774218601348015 
2048 0.09275908301469826 -1.7791220287441547 0.24244850418624192 1 0.24244850418624192 4041534545.7561173 -14603006.790959883 33489569762.15661 0.00014026950467786454 1.2638475355869256e-05 0.0012754901088364455 0.00039404633868775623 
2049 0.010113112293140603 -1.769008916451014 0.25076282224548435 1 0.25076282224548435 4072266622.275177 -15098837.391090427 34869882279.079346 0.0001420333310715832 1.2743270340759749e-05 0.0012788292894726785 0.0004023421478009366 
2050 0.004215198250847152 -1.764793718200167 0.2610609442985619 1 0.2610609442985619 4109286276.484016 -15699852.384388085 36591987986.14167 0.00014416030336577998 1.2871129143356075e-05 0.0012825988830523244 0.0004126690005396853 
